1) Gender,2) Age,3) Academic degree,4) Main field of research,6) Do you work\study only in the academia? ,"7) How many years have passed since your first academic publication (i.e., academic age)",8) Current affiliation's country ,"9) Based on the last 5 years, on average, how many research projects do you involved in, at the same time? ",10) How many academic papers did you publish with one or more co-author(s) other than your advisor(s)? ,"11) How many solo (i.e., you are the only author) papers did you publish? ",12) How many advisors did you have during your master's studies?,13) How many papers you published during your Masters with your advisor(s)? ,14) How many advisors did you have during your Ph.D. studies?,15) How many papers you published during your Ph.D. studies with your advisor(s)? ,16) How many years your (main) master's advisor is/was older than you?,17) What is/was your master's advisor academic title?,18) What is/was your (main) master's advisor's gender?,19) Did you have a conflict about credit distribution in a paper with your Master's advisor(s)?,20) How many years your (main) Ph.D.'s  (or MD)   advisor is/was older than you?,21) What is/was your (main) Ph.D. (or MD) advisor's gender?,22) Did you have a conflict about credit distribution in a paper with your Ph.D.  (or MD) advisor(s)?,23) What is/was your Ph.D.'s (or MD) advisor academic title?,24) Did you have a conflict about credit distribution in a paper with your peers?,25) Did you add someone to a paper without him\her contributing at all (or not enough to be named an author)? ,26) How often do you ask authors to cite you as part of a review process?,27) How often do you cite your colleagues even when the citation is not entirely scientifically warranted?,"28) How often a co-author raise demands or claims to get more credit in a paper, usually with a treat of delaying the paper's submission/publication?",29)  How many times do you update a papers' authors list based on co-authors' demands and NOT BASED ON CHANGES IN THE CONTRIBUTION of the authors?,5) Second field of research (if any),30) How often do you have to demand to get more credit for you work in a research?
Male,26-35,Second (Master),Law,Yes,1-2,Norway,1,0,0,1,1,1,0,10-20,Dr.,Male,No,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,46-55,Professor,Basic biology,No,20+,Romania,4,10+,5-10,2,2,1,3,20-40,Prof.,Male,No,20-40,Male,Yes,Prof.,No,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Nano/Micro science,No,6-9,United Kingdom,3,5-10,0,1,1,1,3,5-10,Dr.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Never,,Rarely
Male,36-45,Third (Ph.D. \ MD),Architecture and building engineering,No,6-9,France,2,5-10,1,1,0,1,3,10-20,Prof.,Male,No,10-20,Male,No,Prof.,No,No,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Never,,Never
Male,56-65,Professor,Oncology,No,20+,Germany,5+,10+,5-10,1,0,1,4,10-20,Prof.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *institute* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Often,,Never
Female,46-55,Third (Ph.D. \ MD),Law,Yes,10-20,Moldova,2,5-10,10+,1,0,1,3,10-20,Prof.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *institute* as I am,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,46-55,Professor,Economics,No,20+,United States,5+,10+,10+,1,1,2,5+,5-10,Dr.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Rarely
Male,46-55,Third (Ph.D. \ MD),Mechanical engineering,No,10-20,Bolivia,2,10+,2-5,1,0,2,4,20-40,Prof.,Male,Yes,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Rarely,,Rarely
Male,26-35,Third (Ph.D. \ MD),Linguistics,Yes,3-5,Mexico,1,1,1,1,0,2,2,20-40,Prof.,Female,No,10-20,Female,Yes,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,26-35,Third (Ph.D. \ MD),Plant production and environmental agriculture,No,3-5,Mongolia,1,2-5,0,1,1,1,0,10-20,Prof.,Male,No,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Never,,Never
Female,26-35,Third (Ph.D. \ MD),Environmental science,No,3-5,Belgium,1,2-5,0,1,0,3,3,20-40,Prof.,Female,No,20-40,Female,Yes,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,,Never
Male,66+,Professor,Chemistry,No,20+,Romania,3,10+,5-10,1,0,2,4,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,,Rarely
Female,26-35,Third (Ph.D. \ MD),Genome science,Yes,3-5,Sweden,2,2-5,0,1,0,2,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *country* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,,Rarely
Female,46-55,Third (Ph.D. \ MD),Applied physics,No,10-20,Italy,2,10+,2-5,1,1,2,5+,10-20,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Never,,Never
Male,18-25,Second (Master),Mathematics,Yes,0,Belgium,1,0,0,1,1,,,,,Male,Yes,,,,,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Female,36-45,Third (Ph.D. \ MD),History,Yes,6-9,Australia,3,2-5,5-10,1,0,1,1,5-10,Dr.,Male,No,10-20,Male,No,Prof.,No,No,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Never,Never,,Rarely
Female,46-55,Third (Ph.D. \ MD),Basic biology,No,10-20,Denmark,4,10+,2-5,1,1,2,4,10-20,Dr.,Female,No,20-40,Male,No,Prof.,No,No,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,26-35,Third (Ph.D. \ MD),Biological Science,Yes,1-2,Saudi Arabia,5+,5-10,0,1,0,,5+,40+,Dr.,Male,No,0-5,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Often,Often,Biological Science,Often
Male,36-45,Third (Ph.D. \ MD),Civil engineering,Yes,3-5,Morocco,2,2-5,0,1,0,1,3,10-20,Prof.,Male,No,5-10,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Often,Never,,Never
Female,46-55,Professor,Literature,Yes,10-20,United Arab Emirates,2,2-5,10+,1,1,1,2,10-20,Prof.,Male,No,20-40,Male,Yes,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,,Never
Male,56-65,Professor,Genome science,Yes,20+,Germany,3,10+,10+,1,0,1,3,10-20,Prof.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Often,,Rarely
Female,26-35,Third (Ph.D. \ MD),Economics,No,3-5,Finland,3,5-10,1,1,1,1,4,10-20,Prof.,Male,No,20-40,Male,Yes,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Female,46-55,Professor,Biological Science,Yes,20+,Greece,2,10+,2-5,2,1,,5+,40+,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,,Never
Female,36-45,Third (Ph.D. \ MD),Neuroscience,Yes,6-9,Italy,3,5-10,0,1,0,3,5+,10-20,Prof.,Male,No,20-40,Male,Yes,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,,Never
Male,18-25,Second (Master),Philosophy,Yes,1-2,Cambodia,1,0,0,1,1,,,20-40,Prof.,Male,No,,,,,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Female,66+,Professor,Basic medicine,No,20+,Switzerland,4,10+,5-10,2,0,1,2,10-20,Prof.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *institute* as I am,Yes,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Rarely,Never,,Never
Female,36-45,Third (Ph.D. \ MD),Mathematics,Yes,6-9,Spain,3,2-5,5-10,1,1,1,3,10-20,Prof.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *institute* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Female,36-45,Third (Ph.D. \ MD),Psychology,No,3-5,Uruguay,2,2-5,1,1,1,1,3,10-20,Prof.,Male,No,10-20,Female,No,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,,Rarely
Male,46-55,Professor,Law,Yes,10-20,Japan,3,1,0,1,1,1,2,10-20,Prof.,Male,No,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,History,Never
Male,46-55,Professor,Chemistry,No,10-20,France,3,10+,2-5,1,0,2,4,10-20,Dr.,Male,No,20-40,Male,Yes,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Rarely,,Never
Female,46-55,Professor,Basic medicine,Yes,10-20,Romania,5+,10+,10+,1,0,1,2,20-40,Dr.,Male,No,10-20,Male,No,Dr.,Yes - They were from the same *institute* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Rarely
Male,46-55,Third (Ph.D. \ MD),Law,No,6-9,Ireland {Republic},2,2-5,2-5,1,1,1,2,10-20,Dr.,Male,No,5-10,Male,No,Prof.,Yes - They were from the same *institute* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Never,,Never
Female,56-65,Professor,Basic biology,Yes,20+,Peru,3,10+,2-5,1,1,1,3,10-20,Dr.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,66+,Professor,Economics,No,20+,Canada,3,10+,5-10,1,2,1,3,5-10,Dr.,Male,Yes,10-20,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,26-35,Third (Ph.D. \ MD),Environmental science,Yes,3-5,Macedonia,2,2-5,0,1,0,1,3,10-20,Dr.,Male,No,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,46-55,Professor,Electrical and electronic engineering,Yes,10-20,Japan,3,10+,5-10,1,1,1,3,10-20,Dr.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Rarely,,Never
Male,46-55,Professor,Nano/Micro science,Yes,10-20,Austria,3,10+,2-5,1,0,1,3,10-20,Prof.,Female,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Female,36-45,Third (Ph.D. \ MD),Linguistics,Yes,10-20,Russian Federation,2,2-5,10+,1,0,1,1,20-40,Prof.,Female,No,20-40,Female,No,Prof.,"No, Yes - They were from the same *institute* as I am",No,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Never,Never,,Never
Male,26-35,Second (Master),History,Yes,1-2,Belgium,2,0,0,1,2,,,,,Male,Yes,,,,,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,66+,Professor,Genome science,Yes,20+,United Kingdom,5+,10+,10+,1,1,2,5+,10-20,Prof.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,,Rarely
Male,36-45,Third (Ph.D. \ MD),Politics,No,6-9,Serbia,1,1,2-5,1,0,1,2,5-10,Dr.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,,Never
Male,26-35,Third (Ph.D. \ MD),Management,No,3-5,Belarus,2,1,0,1,0,2,3,10-20,Prof.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *field of study* as I am,No,When in the general scope of the work,"When relevant but not necessarily ""a must""",Never,Never,,Never
Male,46-55,Professor,Mathematics,No,20+,Korea South,3,10+,2-5,0,0,1,2,0-5,Dr.,Male,No,20-40,Male,Yes,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Rarely
Female,46-55,Third (Ph.D. \ MD),Architecture and building engineering,No,10-20,Canada,4,10+,2-5,1,1,1,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Often,Never,,Never
Male,46-55,Third (Ph.D. \ MD),Politics,No,6-9,Poland,1,2-5,2-5,1,0,1,2,10-20,Dr.,Male,No,0-5,Male,No,Dr.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Psychology,Never
Male,46-55,Professor,Neuroscience,Yes,10-20,Austria,3,10+,5-10,1,1,2,4,10-20,Dr.,Male,No,20-40,Male,Yes,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,,Rarely
Female,36-45,Third (Ph.D. \ MD),Genome science,No,6-9,United Kingdom,2,5-10,1,1,1,1,2,5-10,Dr.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,,Rarely
Female,46-55,Third (Ph.D. \ MD),Economics,No,10-20,Portugal,3,10+,5-10,1,1,1,2,10-20,Prof.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Never,,Never
Male,56-65,Professor,Applied physics,Yes,20+,Russian Federation,5+,10+,10+,1,1,1,2,10-20,Prof.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *institute* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Female,46-55,Third (Ph.D. \ MD),Economics,Yes,10-20,Argentina,3,10+,10+,1,0,2,3,10-20,Prof.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Often,Rarely,,Never
Male,46-55,Professor,Genome science,No,20+,United Kingdom,5+,10+,5-10,1,1,1,4,10-20,Dr.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Often,Rarely,Basic biology,Rarely
Male,36-45,Third (Ph.D. \ MD),Biological Science,Yes,6-9,United States,3,5-10,0,1,0,2,3,10-20,Dr.,Female,No,10-20,Male,Yes,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,46-55,Third (Ph.D. \ MD),Literature,Yes,10-20,Taiwan,3,5-10,10+,1,1,1,3,10-20,Dr.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *institute* as I am,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Female,26-35,Third (Ph.D. \ MD),Animal life science,No,6-9,Moldova,4,5-10,2-5,1,1,1,5+,10-20,Prof.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *country* as I am,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Male,36-45,Third (Ph.D. \ MD),Genome science,No,6-9,United Kingdom,2,5-10,0,1,1,1,3,10-20,Dr.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Female,36-45,Third (Ph.D. \ MD),Biological Science,Yes,10-20,United Kingdom,3,10+,1,2,1,3,5+,5-10,Dr.,Female,No,20-40,Male,Yes,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,,Never
Female,56-65,Professor,Chemistry,Yes,20+,United Kingdom,4,10+,10+,1,0,1,3,10-20,Prof.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *institute* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,46-55,Professor,Oncology,No,20+,United Kingdom,5+,10+,10+,2,1,2,4,20-40,Prof.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Male,66+,Professor,Nano/Micro science,No,20+,United Kingdom,5+,10+,10+,1,1,1,1,10-20,Prof.,Male,Yes,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Male,26-35,Third (Ph.D. \ MD),Economics,Yes,3-5,United Kingdom,2,1,0,1,0,1,3,5-10,Dr.,Male,No,10-20,Male,No,Dr.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,,Never
Male,26-35,Third (Ph.D. \ MD),Civil engineering,Yes,6-9,United Kingdom,2,5-10,0,1,1,1,3,10-20,Prof.,Female,No,20-40,Male,No,Prof.,"No, Yes - They were from the same *field of study* as I am",Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,,Never
Male,46-55,Professor,Economics,No,20+,United States,3,10+,5-10,1,1,1,3,10-20,Dr.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Male,36-45,Third (Ph.D. \ MD),Physics,No,10-20,Bulgaria,3,5-10,2-5,1,1,1,3,10-20,Prof.,Male,No,10-20,Male,No,Prof.,No,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Rarely,Applied physics,Never
Male,56-65,Professor,Genome science,No,20+,United States,4,10+,10+,1,1,1,2,10-20,Prof.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *institute* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Rarely
Female,26-35,Third (Ph.D. \ MD),Social sciences,Yes,3-5,United States,1,1,0,1,0,1,2,10-20,Dr.,Male,Yes,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,46-55,Third (Ph.D. \ MD),Environmental science,Yes,20+,United States,3,5-10,10+,1,1,1,3,10-20,Prof.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Material engineering,Yes,10-20,United States,3,10+,2-5,1,0,1,3,10-20,Prof.,Female,No,10-20,Male,No,Prof.,Yes - They were from the same *country* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,,Never
Female,36-45,Third (Ph.D. \ MD),Philosophy,Yes,10-20,United States,1,1,5-10,1,1,1,1,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,No,When in the general scope of the work,"When relevant but not necessarily ""a must""",Never,Never,,Never
Male,46-55,Third (Ph.D. \ MD),Mathematics,Yes,10-20,United States,4,5-10,10+,1,1,1,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *institute* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,,Never
Male,56-65,Professor,Plant production and environmental agriculture,No,20+,United States,3,10+,5-10,1,0,1,4,10-20,Prof.,Male,No,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Psychology,No,6-9,United States,1,2-5,2-5,1,0,1,3,5-10,Dr.,Female,No,20-40,Female,Yes,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,36-45,Third (Ph.D. \ MD),Environmental science,Yes,10-20,United States,2,2-5,5-10,1,0,1,3,10-20,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Male,46-55,Third (Ph.D. \ MD),Electrical and electronic engineering,No,10-20,United States,3,10+,2-5,1,1,1,3,10-20,Prof.,Female,No,20-40,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Male,36-45,Third (Ph.D. \ MD),Biological Science,Yes,6-9,United States,3,10+,1,1,0,1,3,10-20,Prof.,Male,Yes,20-40,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,,Never
Male,46-55,Professor,Neuroscience,No,20+,United States,3,10+,2-5,1,1,2,5+,10-20,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Rarely,,Rarely
Male,36-45,Third (Ph.D. \ MD),Mechanical engineering,No,10-20,United States,3,10+,2-5,1,0,1,3,10-20,Prof.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Often,Rarely,Physics,Never
Male,46-55,Professor,Biological Science,Yes,20+,United States,3,10+,5-10,1,1,2,5+,10-20,Dr.,Male,No,20-40,Male,Yes,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,,Never
Female,46-55,Professor,Linguistics,Yes,20+,United States,3,5-10,10+,1,1,1,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Never,,Never
Male,56-65,Professor,Chemistry,Yes,20+,Germany,4,10+,5-10,1,1,1,4,5-10,Dr.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *institute* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
Male,46-55,Professor,Literature,Yes,10-20,United Arab Emirates,2,5-10,10+,1,1,1,2,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Female,56-65,Professor,Sociology,No,20+,United States,3,10+,10+,1,0,2,5+,10-20,Prof.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *institute* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Female,56-65,Professor,Politics,No,20+,Germany,2,10+,10+,1,0,1,2,10-20,Prof.,Male,No,10-20,Female,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,History,Never
Male,18-25,Second (Master),Environmental science,No,0,Estonia,1,0,0,1,1,,,,,Female,Yes,,,,,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,All the time,Never,,Never
Female,36-45,Third (Ph.D. \ MD),Psychology,Yes,6-9,India,2,5-10,0,1,2,1,4,5-10,Dr.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *country* as I am,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,Sociology,Never
Male,56-65,Professor,Oncology,No,20+,India,4,10+,5-10,1,0,1,2,10-20,Dr.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Often,Often,Basic medicine,Rarely
Male,36-45,Third (Ph.D. \ MD),History,Yes,6-9,Egypt,2,1,2-5,1,0,1,1,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,No,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Never,Never,,Never
Male,66+,Third (Ph.D. \ MD),Mathematics,Yes,20+,Israel,1,0,10+,1,0,1,5+,5-10,Dr.,Male,No,5-10,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,56-65,Professor,Mathematics,Yes,20+,Egypt,3,10+,10+,1,1,1,2,10-20,Prof.,Male,No,20-40,Male,Yes,Prof.,Yes - They were from the same *institute* as I am,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Economics,Yes,6-9,South Africa,2,5-10,1,1,0,2,3,10-20,Dr.,Male,No,20-40,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,,Rarely
Male,46-55,Third (Ph.D. \ MD),Civil engineering,No,10-20,Morocco,2,10+,1,1,1,1,3,5-10,Dr.,Male,No,20-40,Male,Yes,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,36-45,Third (Ph.D. \ MD),Chemistry,Yes,10-20,United States,3,10+,0,1,1,3,5+,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Female,26-35,Third (Ph.D. \ MD),Anthropology,Yes,3-5,United States,1,1,0,1,0,1,2,10-20,Prof.,Female,No,10-20,Female,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Applied physics,No,6-9,Morocco,2,1,5-10,1,0,1,4,5-10,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *institute* as I am,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Mathematics,Never
Male,56-65,Professor,Mechanical engineering,No,20+,South Africa,5+,10+,2-5,1,1,1,2,10-20,Prof.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,When in the general scope of the work,"When relevant but not necessarily ""a must""",Rarely,Often,Physics,Rarely
Male,36-45,Third (Ph.D. \ MD),Economics,Yes,6-9,Morocco,2,5-10,0,1,1,1,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""",When in the general scope of the work,Rarely,Rarely,Psychology,Often
Male,46-55,Third (Ph.D. \ MD),Biological Science,Yes,10-20,Egypt,4,10+,2-5,2,2,1,3,10-20,Prof.,Male,No,20-40,Male,Yes,Prof.,Yes - They were from the same *country* as I am,Yes,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
